,date,CNTY_NM,xco2
8029,2019-07-29,Gillespie,406.34534783631324
8030,2019-07-29,Gray,404.01280421065167
8031,2019-07-29,Guadalupe,406.0900682816282
8032,2019-07-29,Hall,407.65523033983567
8033,2019-07-29,Hansford,404.9498158314362
8034,2019-07-29,Haskell,405.9363596348299
8035,2019-07-29,Hutchinson,404.5148380100727
8036,2019-07-29,Jones,406.05839603813365
8037,2019-07-29,Karnes,406.5216008116138
8038,2019-07-29,Kenedy,405.8816249558139
8039,2019-07-29,King,406.00549340631596
8040,2019-07-29,Kleberg,405.71081854616216
8041,2019-07-29,Llano,406.7428737006923
8042,2019-07-29,McCulloch,408.18387424224056
8043,2019-07-29,Nueces,403.86742207182334
8044,2019-07-29,Ochiltree,404.85261706635356
8045,2019-07-29,Roberts,403.7511773478602
8046,2019-07-29,San Patricio,403.8665665575536
8047,2019-07-29,San Saba,406.8835631995979
8048,2019-07-29,Stonewall,406.64284357002805
8049,2019-07-29,Taylor,405.38930140125257
8050,2019-07-29,Willacy,405.916387680918
8051,2019-07-29,Wilson,405.1534524478484
8052,2019-08-01,El Paso,406.87680765668944
8053,2019-08-03,Culberson,408.9381053255728
8054,2019-08-03,Hudspeth,409.53727875603363
8055,2019-08-03,Jeff Davis,409.16562078186786
8056,2019-08-03,Presidio,407.34155651504045
8057,2019-08-05,Armstrong,403.8777635397502
8058,2019-08-05,Briscoe,404.33360430012857
8059,2019-08-05,Carson,406.65225195322904
8060,2019-08-05,Coke,405.2240581421012
8061,2019-08-05,Concho,405.8981324002768
8062,2019-08-05,Dickens,404.5664863265559
8063,2019-08-05,Donley,404.49778898619115
8064,2019-08-05,Edwards,410.51895590499043
8065,2019-08-05,Fisher,407.895983867261
8066,2019-08-05,Frio,405.0625054029903
8067,2019-08-05,Hall,404.9913724884391
8068,2019-08-05,Jim Hogg,406.8630456458777
8069,2019-08-05,Kent,407.5529982290435
8070,2019-08-05,Kimble,405.7177633512766
8071,2019-08-05,La Salle,405.98470296939473
8072,2019-08-05,Menard,405.197748197959
8073,2019-08-05,Motley,404.1425462205415
8074,2019-08-05,Nolan,407.5588050845749
8075,2019-08-05,Runnels,404.7543743001099
8076,2019-08-05,Starr,406.84857014368504
8077,2019-08-05,Tom Green,406.87697946850676
8078,2019-08-05,Uvalde,405.1874315929274
8079,2019-08-05,Webb,406.50020862274147
8080,2019-08-05,Zapata,406.03536498648197
8081,2019-08-05,Zavala,404.35327941344843
8082,2019-08-07,Baylor,406.0800322053104
8083,2019-08-07,Blanco,403.49518531002104
8084,2019-08-07,Brown,404.3824205707227
8085,2019-08-07,Callahan,403.75889927547956
8086,2019-08-07,Cameron,405.37449680605755
8087,2019-08-07,Comal,404.64722592015426
8088,2019-08-07,Eastland,404.3592386341725
8089,2019-08-07,Foard,406.3611673440651
8090,2019-08-07,Guadalupe,402.5838279630989
8091,2019-08-07,Hardeman,407.1128444047645
8092,2019-08-07,Hemphill,407.0628900080919
8093,2019-08-07,Karnes,403.9856555339481
8094,2019-08-07,Kenedy,404.1057155153149
8095,2019-08-07,Kleberg,405.8602040030939
