Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
5/18/2019,AQS,480271045,1,16.1,ug/m3 LC,59,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/19/2019,AQS,480271045,1,21.5,ug/m3 LC,71,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/20/2019,AQS,480271045,1,15.8,ug/m3 LC,59,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/21/2019,AQS,480271045,1,10.5,ug/m3 LC,44,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/22/2019,AQS,480271045,1,19,ug/m3 LC,66,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/23/2019,AQS,480271045,1,13.4,ug/m3 LC,54,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/24/2019,AQS,480271045,1,10.4,ug/m3 LC,43,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/25/2019,AQS,480271045,1,10,ug/m3 LC,42,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/26/2019,AQS,480271045,1,8.6,ug/m3 LC,36,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/27/2019,AQS,480271045,1,9.2,ug/m3 LC,38,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
