,Date,Site ID,County,FIPS,Value
247,2020-01-07,1035,Jefferson,48245,12.617659166666664
248,2020-01-07,1038,Wilson,48493,5.11979125
249,2020-01-07,1044,Ellis,48139,8.740495416666665
251,2020-01-07,1053,Tarrant,48439,34.00506625
252,2020-01-07,1067,Dallas,48113,31.853032500000005
253,2020-01-07,1068,Travis,48453,48.08166166666666
254,2020-01-07,1070,Karnes,48255,7.107624166666664
255,2020-01-07,1100,Orange,48361,10.2927275
256,2020-01-07,1607,Brazoria,48039,3.8477295833333334
257,2020-01-07,2,Harrison,48203,5.3982270833333335
258,2020-01-07,2003,Tarrant,48439,15.664065833333334
259,2020-01-07,22,Jefferson,48245,6.641452916666665
260,2020-01-07,3009,Tarrant,48439,18.21753125
261,2020-01-07,32,Bexar,48029,16.876074583333335
262,2020-01-07,34,Denton,48121,9.776161333333333
263,2020-01-07,37,El Paso,48141,45.233943157894736
264,2020-01-07,416,Harris,48201,37.227471666666666
265,2020-01-07,44,El Paso,48141,51.07527088888888
266,2020-01-07,47,Harris,48201,53.08884666666667
267,2020-01-07,5,Kaufman,48257,8.880876818181816
268,2020-01-07,52,Bexar,48029,1.03615625
269,2020-01-07,55,El Paso,48141,34.68175958333333
270,2020-01-07,56,Galveston,48167,15.018780476190479
271,2020-01-07,59,Bexar,48029,7.531511249999999
272,2020-01-07,617,Harris,48201,17.68981375
273,2020-01-07,628,Jefferson,48245,12.19443761904762
274,2020-01-07,7,Smith,48423,3.04850875
275,2020-01-07,75,Dallas,48113,21.008129166666667
276,2020-01-07,75,Tarrant,48439,8.818784583333334
277,2020-01-07,803,Harris,48201,41.910285
278,2020-01-07,87,Dallas,48113,20.312407
279,2020-01-07,9,Jefferson,48245,14.93640375
280,2020-01-08,1,Gregg,48183,4.578203333333333
281,2020-01-08,1001,Orange,48361,20.30670333333333
282,2020-01-08,1002,Tarrant,48439,29.836705000000002
283,2020-01-08,1006,Hunt,48231,8.661304583333331
284,2020-01-08,101,Jefferson,48245,3.5134377272727275
285,2020-01-08,102,Jefferson,48245,21.519602500000005
286,2020-01-08,1035,Harris,48201,74.04363250000002
287,2020-01-08,1035,Jefferson,48245,12.726399583333334
288,2020-01-08,1038,Wilson,48493,9.654125833333332
289,2020-01-08,1044,Ellis,48139,6.217182916666668
291,2020-01-08,1053,Tarrant,48439,32.40524041666667
292,2020-01-08,1067,Dallas,48113,19.1773775
293,2020-01-08,1068,Travis,48453,69.57929727272727
294,2020-01-08,1070,Karnes,48255,3.9598095833333335
295,2020-01-08,1100,Orange,48361,9.574891739130438
296,2020-01-08,1607,Brazoria,48039,2.3648612499999997
297,2020-01-08,2,Harrison,48203,9.523933333333332
298,2020-01-08,2003,Tarrant,48439,14.46236875
299,2020-01-08,22,Jefferson,48245,7.478627500000002
300,2020-01-08,3009,Tarrant,48439,18.91037916666666
301,2020-01-08,32,Bexar,48029,26.772655
302,2020-01-08,34,Denton,48121,16.523145
303,2020-01-08,37,El Paso,48141,39.92040571428572
304,2020-01-08,416,Harris,48201,49.46467958333333
305,2020-01-08,44,El Paso,48141,34.56632270833333
306,2020-01-08,47,Harris,48201,93.53305875000001
307,2020-01-08,5,Kaufman,48257,8.871336666666668
308,2020-01-08,52,Bexar,48029,4.067990833333333
309,2020-01-08,55,El Paso,48141,42.2971275
310,2020-01-08,56,Galveston,48167,17.1060675
311,2020-01-08,59,Bexar,48029,7.770225833333333
312,2020-01-08,617,Harris,48201,17.446653913043477
313,2020-01-08,628,Jefferson,48245,13.764061111111113
314,2020-01-08,7,Smith,48423,2.9811178260869564
315,2020-01-08,75,Dallas,48113,16.506023333333335
316,2020-01-08,75,Tarrant,48439,6.704690833333335
317,2020-01-08,803,Harris,48201,96.57429291666664
318,2020-01-08,87,Dallas,48113,9.363358750000002
319,2020-01-08,9,Jefferson,48245,16.566017083333335
320,2020-01-09,1,Gregg,48183,1.785802222222222
321,2020-01-09,1001,Orange,48361,2.3104508695652166
322,2020-01-09,1002,Tarrant,48439,8.507537500000002
323,2020-01-09,1006,Hunt,48231,3.9853445833333327
324,2020-01-09,101,Jefferson,48245,3.092775
325,2020-01-09,102,Jefferson,48245,9.796837083333333
326,2020-01-09,1035,Harris,48201,14.038487500000002
327,2020-01-09,1035,Jefferson,48245,4.159574166666668
328,2020-01-09,1038,Wilson,48493,1.652949166666667
329,2020-01-09,1044,Ellis,48139,2.1325983333333336
331,2020-01-09,1053,Tarrant,48439,21.71580833333333
332,2020-01-09,1067,Dallas,48113,7.653269130434785
333,2020-01-09,1068,Travis,48453,21.093049166666667
334,2020-01-09,1070,Karnes,48255,1.2187366666666664
335,2020-01-09,1100,Orange,48361,3.24794
336,2020-01-09,1607,Brazoria,48039,1.7137729166666662
337,2020-01-09,2,Harrison,48203,2.9793587500000003
338,2020-01-09,2003,Tarrant,48439,4.474916666666667
339,2020-01-09,22,Jefferson,48245,0.6631416666666667
340,2020-01-09,3009,Tarrant,48439,9.498560416666667
341,2020-01-09,32,Bexar,48029,4.257914583333333
342,2020-01-09,34,Denton,48121,3.6026671111111113
343,2020-01-09,37,El Paso,48141,19.086377916666663
344,2020-01-09,416,Harris,48201,6.846664090909091
345,2020-01-09,44,El Paso,48141,24.76820708333333
346,2020-01-09,47,Harris,48201,9.250161666666667
347,2020-01-09,5,Kaufman,48257,2.880103750000001
348,2020-01-09,52,Bexar,48029,1.8854683333333329
349,2020-01-09,55,El Paso,48141,29.80021
350,2020-01-09,56,Galveston,48167,8.494952916666668
351,2020-01-09,59,Bexar,48029,1.9884108333333337
352,2020-01-09,617,Harris,48201,7.053344166666667
353,2020-01-09,628,Jefferson,48245,7.393322916666666
354,2020-01-09,7,Smith,48423,1.0764245833333335
355,2020-01-09,75,Dallas,48113,3.8665995833333335
356,2020-01-09,75,Tarrant,48439,3.0496304166666652
357,2020-01-09,803,Harris,48201,19.85181083333334
358,2020-01-09,87,Dallas,48113,5.508675416666668
359,2020-01-09,9,Jefferson,48245,6.546951666666665
360,2020-01-10,1,Gregg,48183,1.4668200000000002
361,2020-01-10,1001,Orange,48361,1.7017725000000001
362,2020-01-10,1002,Tarrant,48439,6.373114999999998
363,2020-01-10,1006,Hunt,48231,2.4570762500000005
364,2020-01-10,101,Jefferson,48245,2.5394087499999998
365,2020-01-10,102,Jefferson,48245,10.485059583333332
366,2020-01-10,1035,Harris,48201,11.215212727272727
367,2020-01-10,1035,Jefferson,48245,4.634597083333333
368,2020-01-10,1038,Wilson,48493,1.619476666666667
369,2020-01-10,1044,Ellis,48139,1.3948845833333334
371,2020-01-10,1053,Tarrant,48439,15.531555
372,2020-01-10,1067,Dallas,48113,6.766805833333334
373,2020-01-10,1068,Travis,48453,14.813236666666665
374,2020-01-10,1070,Karnes,48255,1.2904275
375,2020-01-10,1100,Orange,48361,2.7588541666666666
376,2020-01-10,1607,Brazoria,48039,0.7756474999999998
377,2020-01-10,2,Harrison,48203,1.817461666666667
378,2020-01-10,2003,Tarrant,48439,3.1691216666666664
379,2020-01-10,22,Jefferson,48245,0.16160708333333332
380,2020-01-10,3009,Tarrant,48439,6.914122500000001
